Ref,Val,Package,PosX,PosY,Rot,Side
"R32","18k","R_0603_1608Metric",173.750000,-125.875000,0.000000,top
"R33","100k","R_0603_1608Metric",175.000000,-124.000000,0.000000,top
"R34","150k","R_0603_1608Metric",176.000000,-134.000000,180.000000,top
"R35","100k","R_0603_1608Metric",172.500000,-134.000000,180.000000,top
"R36","2.2k","R_0603_1608Metric",185.500000,-126.750000,0.000000,top
"R37","100k","R_0603_1608Metric",156.750000,-139.725000,0.000000,top
"R38","22R USB D-","R_0603_1608Metric",115.000000,-135.500000,0.000000,top
"R39","22R USB D+","R_0603_1608Metric",115.000000,-138.000000,0.000000,top
"R40","100k USB100 default","R_0603_1608Metric",124.000000,-142.000000,0.000000,top
"R41","100k EN pulldown","R_0603_1608Metric",147.000000,-140.500000,90.000000,top
"R42","0R SHIELD BOND","R_0603_1608Metric",103.500000,-131.500000,0.000000,top
"SW1","ESP RESET","SW_Push_1P1T_XKB_TS-1187A",116.000000,-147.000000,0.000000,top
"SW2","ESP BOOT","SW_Push_1P1T_XKB_TS-1187A",124.500000,-147.000000,0.000000,top
"SW3","POWER ON/OFF","SW_SPDT_Shouhan_MSK12C02",151.000000,-146.700000,0.000000,top
"U1","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",122.000000,-114.000000,0.000000,top
"U2","NRF52840-QIAA-R","AQFN-73_L7.0-W7.0-P0.50-BL-EP4.8",164.000000,-110.500000,-90.000000,top
"U3","NRF21540-QDAA-R","QFN-16_L4.0-W4.0-P0.65-BL-EP2.7",174.000000,-109.840000,90.000000,top
"U4","BQ24074RGTR","QFN-16_L3.0-W3.0-P0.50-TL-EP1.7",126.000000,-137.000000,0.000000,top
"U5","TPS63020DSJR","VSON-14_L4.0-W3.0-P0.50-BL-EP_TI_DSJ",143.000000,-137.000000,180.000000,top
"U6","USBLC6-2SC6","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL",111.000000,-137.000000,-90.000000,top
"U7","PCM5102APWR","TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL",164.000000,-130.000000,0.000000,top
"U8","MAX9814ETD+T","TDFN-14_L3.0-W3.0-P0.40-BL-EP",180.000000,-138.000000,0.000000,top
"U9","TPA6132A2RTER","WQFN-16_L3.0-W3.0-P0.50-TL-EP1.6",180.000000,-123.000000,0.000000,top
"Y1","32MHz 8pF","CRYSTAL-SMD_4P-L3.2-W2.5-BL",175.000000,-102.200000,180.000000,top
"Y2","32.768kHz 12.5pF","OSC-SMD_L3.2-W1.5",158.300000,-113.500000,-90.000000,top
